geometry,addr:city,addr:country,addr:housenumber,addr:street,building,building:levels,roof:levels,roof:shape,wikidata,name,addr:postcode,amenity,contact:email,contact:phone,contact:website,official_name,opening_hours,operator:type,ref,abandoned,leisure,operator,sport,building:cladding,addr2:street,old_name,disused,source:addr,abandoned:shop,description,building:material,changing_table,check_date,fee,operator:wikidata,website,wheelchair,power,information,tourism,indoor_seating,outdoor_seating,payment:credit_cards,payment:debit_cards,type,building:architecture
"POLYGON ((29.7731504 59.9866492, 29.7736085 59.9865531, 29.7733913 59.986294, 29.7729333 59.9863901, 29.7731504 59.9866492))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7780371 59.9869429, 29.7779721 59.9868629, 29.7780317 59.9868508, 29.7779699 59.9867746, 29.7781516 59.9867377, 29.7780879 59.9866592, 29.7786056 59.9865541, 29.7785728 59.9865138, 29.7787731 59.9864731, 29.7788033 59.9865104, 29.778998 59.9864708, 29.7790262 59.9865055, 29.7794403 59.9864214, 29.7796051 59.9866243, 29.7780371 59.9869429))",,,6,Петровская улица,yes,2,,,Q117448004,,,,,,,,,,,,,,,,,,,rgis,,,brick,,,,,,,,,,,,,,,
"POLYGON ((29.7768558 59.9861419, 29.7767589 59.986028, 29.7767085 59.9859586, 29.7768322 59.985933, 29.7765687 59.985614, 29.7763374 59.9856618, 29.7762691 59.9855791, 29.7768148 59.9854663, 29.7768726 59.9855363, 29.7767061 59.9855707, 29.7771323 59.9860869, 29.7770875 59.9860958, 29.7768558 59.9861419))",Кронштадт,,2Л,Макаровская улица,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7738687 59.9867405, 29.7737354 59.9865737, 29.7734881 59.9862609, 29.773822 59.9861946, 29.7740817 59.9865218, 29.7750333 59.9863329, 29.7747867 59.9860222, 29.7752299 59.9859342, 29.7754619 59.9862266, 29.7762011 59.9860798, 29.7763365 59.9862504, 29.7738687 59.9867405))",,,2В,Макаровская улица,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7781537 59.9850865, 29.7775941 59.9844138, 29.7772061 59.9844946, 29.7777658 59.9851673, 29.7781537 59.9850865))",Кронштадт,,2Н,Макаровская улица,yes,,,,,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7774243 59.9860181, 29.7778163 59.9859425, 29.7774734 59.985497, 29.7770814 59.9855726, 29.7774243 59.9860181))",,,2 литП,Петровская улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7785783 59.9857805, 29.7782364 59.9853294, 29.7777504 59.9854216, 29.7780922 59.9858726, 29.7785783 59.9857805))",,,2 литМ,Макаровская улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7725591 59.9855466, 29.7726673 59.9856143, 29.7728343 59.9855475, 29.7727261 59.9854798, 29.7725591 59.9855466))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7779935 59.9863081, 29.7792543 59.9860718, 29.7791719 59.9859618, 29.7785412 59.98608, 29.7785753 59.9861254, 29.7779452 59.9862435, 29.7779935 59.9863081))",Кронштадт,,6В,Петровская улица,industrial,1,,skillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7760011 59.9858293, 29.7755894 59.9859068, 29.7756565 59.9859958, 29.7760681 59.9859183, 29.7760011 59.9858293))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7748166 59.9862795, 29.7746384 59.9860509, 29.7744785 59.9860821, 29.7746567 59.9863107, 29.7748166 59.9862795))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7735346 59.9860894, 29.7731238 59.9855548, 29.7734542 59.9854912, 29.7734141 59.985439, 29.7738759 59.9853502, 29.7739183 59.9854054, 29.7745574 59.9852826, 29.7748328 59.9856409, 29.7750954 59.9855904, 29.7752285 59.9857637, 29.7735346 59.9860894))",Кронштадт,,2Ф,Макаровская улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7742279 59.9863859, 29.774573 59.9863193, 29.774431 59.9861354, 29.7740859 59.9862021, 29.7742279 59.9863859))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7817582 59.9866684, 29.7816328 59.9865166, 29.7832759 59.9861771, 29.7838847 59.9869615, 29.7835464 59.9870273, 29.7830937 59.9864342, 29.7829499 59.9864639, 29.7828877 59.9863886, 29.7826109 59.9864458, 29.7826886 59.9865398, 29.7825794 59.9865623, 29.7823304 59.9866139, 29.7822509 59.9865176, 29.78199 59.9865715, 29.7820245 59.9866134, 29.7817582 59.9866684))",Кронштадт,RU,7,Петровская улица,yes,2,,,,,,,,,,,,,,,,,,,,,,rgis,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7836983 59.9892404, 29.7834216 59.9888577, 29.7832808 59.9888832, 29.7835575 59.9892658, 29.7836983 59.9892404))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7827245 59.9886398, 29.7828661 59.9888322, 29.782769 59.9888501, 29.7827076 59.9887666, 29.7825372 59.988798, 29.7825022 59.9887504, 29.7822746 59.9887923, 29.7822294 59.988731, 29.7827245 59.9886398))",,,,,yes,,,,,Водоподъемная машина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7815915 59.9874895, 29.7829394 59.9872266, 29.7827914 59.9870368, 29.7814435 59.9872997, 29.7815915 59.9874895))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.783193 59.9887082, 29.7831445 59.9886423, 29.7832224 59.9886279, 29.783103 59.9884657, 29.783247 59.9884392, 29.7834149 59.9886674, 29.783193 59.9887082))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7823263 59.9867836, 29.7822728 59.9867186, 29.7822263 59.9867281, 29.7821401 59.9866234, 29.781922 59.9866683, 29.7819695 59.9867259, 29.781664 59.9867888, 29.7814641 59.9865459, 29.7810752 59.986626, 29.7813835 59.9870006, 29.7823424 59.9868032, 29.7823263 59.9867836))",,,7 литБ,Петровская улица,yes,,,,,,,,,,,,,,,,,,,,,,,rgis,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7828682 59.9882716, 29.7826674 59.9880273, 29.7825601 59.9880494, 29.7827609 59.9882936, 29.7828682 59.9882716))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7840043 59.9908758, 29.7833222 59.9910152, 29.7832554 59.9909335, 29.7830908 59.9909671, 29.7829903 59.9908442, 29.7831073 59.9908203, 29.782607 59.9902082, 29.7828055 59.9901677, 29.7832658 59.9907309, 29.7837112 59.9906398, 29.7832494 59.9900747, 29.7835116 59.9900211, 29.78397 59.990582, 29.7843063 59.9905133, 29.7844399 59.9906767, 29.7839272 59.9907815, 29.7840043 59.9908758))",,,1 литБ,Якорная площадь,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7822551 59.9884344, 29.7823852 59.9884063, 29.7821465 59.9881295, 29.7820163 59.9881576, 29.7822551 59.9884344))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7819196 59.9903381, 29.7822245 59.9902752, 29.7827969 59.9909975, 29.7824954 59.9910569, 29.7819425 59.9903667, 29.7819196 59.9903381))",,,1 литА,Якорная площадь,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7743589 59.9896309, 29.7742917 59.989547, 29.7742709 59.9895512, 29.7742502 59.9895553, 29.7741754 59.989462, 29.774233 59.9894505, 29.7741658 59.9893666, 29.7741082 59.9893782, 29.7740301 59.9892807, 29.7740509 59.9892765, 29.7740716 59.9892724, 29.7740052 59.9891895, 29.7737791 59.9892348, 29.7738194 59.989285, 29.7737603 59.9892969, 29.7737759 59.9893163, 29.7738903 59.9894591, 29.7740025 59.9895991, 29.7740203 59.9896214, 29.7740794 59.9896095, 29.7741328 59.9896762, 29.7743589 59.9896309))",Кронштадт,RU,11,Красная улица,apartments,5,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7730088 59.9893875, 29.7734405 59.9892997, 29.7733868 59.9892336, 29.7731709 59.9892775, 29.772955 59.9893214, 29.7730088 59.9893875))",Кронштадт,RU,7,Красная улица,apartments,3,,skillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7732347 59.9891937, 29.7734146 59.98916, 29.7733607 59.989088, 29.7733067 59.989016, 29.7731268 59.9890498, 29.7732347 59.9891937))",Кронштадт,RU,5,Красная улица,apartments,3,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7716251 59.9888582, 29.7720263 59.9887744, 29.7717835 59.9884835, 29.7715207 59.9885384, 29.7715869 59.9886176, 29.7716714 59.9886, 29.771707 59.9886426, 29.7717219 59.9886605, 29.7718146 59.9886411, 29.7718241 59.9886524, 29.7717889 59.9886598, 29.7718468 59.9887292, 29.7715665 59.988788, 29.7716251 59.9888582))",Кронштадт,RU,19,Петровская улица,apartments,3,,skillion,Q117448173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7713894 59.9898179, 29.7711649 59.9895369, 29.7714397 59.989482, 29.7714778 59.9895297, 29.7721039 59.9894045, 29.7717029 59.9889027, 29.7722422 59.9887949, 29.7727577 59.9894399, 29.7724764 59.9894961, 29.7725784 59.9896238, 29.7723105 59.9896773, 29.7722336 59.9895812, 29.7721181 59.9896043, 29.7721649 59.9896629, 29.7713894 59.9898179))",Кронштадт,RU,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7716136 59.9900951, 29.7714637 59.9899017, 29.7718829 59.9898202, 29.7720323 59.990014, 29.7718554 59.9900478, 29.7716136 59.9900951))",Кронштадт,RU,14,Коммунистическая улица,yes,,,,,,,,,,,,,,,,,,,,,,,rgis,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7717835 59.9884835, 29.7720134 59.9884355, 29.772251 59.9883858, 29.7723736 59.9883602, 29.772489 59.9884984, 29.7721066 59.9885783, 29.7719748 59.9886058, 29.7719851 59.9886182, 29.7720272 59.9886094, 29.7720759 59.9886678, 29.7720338 59.9886766, 29.7720449 59.9886898, 29.7721767 59.9886623, 29.7725479 59.9885849, 29.7728027 59.9885317, 29.7730272 59.9884848, 29.7730843 59.9885534, 29.7720263 59.9887744, 29.7717835 59.9884835))",Кронштадт,RU,17,Петровская улица,apartments,3,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7740052 59.9891895, 29.7738912 59.9890404, 29.7736908 59.9890806, 29.7737553 59.9891611, 29.7737112 59.98917, 29.7734683 59.9892187, 29.7735226 59.9892864, 29.7737791 59.9892348, 29.7740052 59.9891895))",Кронштадт,RU,9,Красная улица,apartments,2,,many,Q117447950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7723173 59.989936, 29.7730728 59.9897853, 29.7729818 59.9896712, 29.7722263 59.9898219, 29.7723173 59.989936))",Кронштадт,RU,,,yes,2,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7744547 59.9897573, 29.7743589 59.9896309, 29.7741328 59.9896762, 29.773801 59.9897428, 29.7738512 59.9898054, 29.7742645 59.9897224, 29.7742979 59.9897157, 29.7743484 59.9897787, 29.7744547 59.9897573))",Кронштадт,RU,13,Красная улица,apartments,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7732932 59.9889261, 29.773467 59.9888896, 29.7732196 59.9885949, 29.7730458 59.9886314, 29.7732932 59.9889261))",Кронштадт,RU,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7706172 59.9859102, 29.7707246 59.9858872, 29.7706922 59.9858493, 29.770664 59.9858163, 29.7705566 59.9858392, 29.7706172 59.9859102))",,,7,Арсенальный переулок,yes,,,,,,,toilets,,,,,09:00-21:00,,,,,ГУП «Водоканал Санкт-Петербурга»,,,,,,,,,,no,2025-06-15,no,Q4114077,http://www.vodokanal.spb.ru/kanalizovanie/tualety/,limited,,,,,,,,,
"POLYGON ((29.765502 59.9866135, 29.7656279 59.9865851, 29.7655825 59.9865347, 29.7654566 59.9865632, 29.765502 59.9866135))",,,,,yes,,,,,КПП,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7716407 59.9855905, 29.7717934 59.9855604, 29.7717345 59.9854855, 29.7715817 59.9855156, 29.7716407 59.9855905))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7747186 59.9885173, 29.7747956 59.9885028, 29.7747605 59.9884562, 29.7747005 59.9884675, 29.7746835 59.9884707, 29.7747186 59.9885173))",,,8 к5,Красная улица,service,1,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,substation,,,,,,,,
"POLYGON ((29.7771313 59.9864697, 29.7772089 59.9865694, 29.7774066 59.9868232, 29.7773912 59.9868262, 29.7773983 59.9868353, 29.7774053 59.9868443, 29.7774207 59.9868413, 29.7774642 59.9868972, 29.7775197 59.9868864, 29.7775425 59.9869156, 29.777795 59.9868664, 29.7775262 59.9865213, 29.7775442 59.9865178, 29.7775313 59.9865013, 29.7775128 59.9865049, 29.7774387 59.9864098, 29.7771313 59.9864697))",Кронштадт,RU,8 к2,Петровская улица,apartments,3,,hipped,Q117448101,,,,,,,,,,,,,,,,,,,rgis,,,plaster,,,,,,,,,,,,,,,
"POLYGON ((29.7768433 59.9870698, 29.7768631 59.9870951, 29.7769158 59.9871625, 29.7770122 59.9871436, 29.7770064 59.9871362, 29.7770494 59.9871277, 29.7770395 59.9871151, 29.7772104 59.9870816, 29.7772074 59.9870778, 29.7772584 59.9870678, 29.7772484 59.987055, 29.7773053 59.9870438, 29.7773144 59.9870554, 29.7773794 59.9870427, 29.7773887 59.9870546, 29.7776661 59.9870004, 29.7776578 59.9869898, 29.7777493 59.9869719, 29.7777549 59.9869791, 29.7778462 59.9869612, 29.7778253 59.9869346, 29.7778456 59.9869306, 29.777795 59.9868664, 29.7775425 59.9869156, 29.7775197 59.9868864, 29.7774642 59.9868972, 29.7774756 59.9869118, 29.777487 59.9869264, 29.777436 59.9869365, 29.7774258 59.9869235, 29.7773768 59.9869331, 29.7773709 59.9869255, 29.7772521 59.9869488, 29.7772273 59.9869536, 29.7772182 59.986942, 29.7771502 59.9869553, 29.777161 59.986969, 29.7769706 59.9870063, 29.7769601 59.9869927, 29.7768404 59.9870161, 29.7768772 59.9870632, 29.7768433 59.9870698))",Кронштадт,RU,8 к1,Петровская улица,apartments,5,,flat,,,,,,,,,,,,,,,,brick,,,,,,,brick,,,,,,,,,,,,,,,
"POLYGON ((29.7763077 59.9869735, 29.7763534 59.9870259, 29.776462 59.9870022, 29.7764163 59.9869497, 29.7763077 59.9869735))",,,,,service,1,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,substation,,,,,,,,
"POLYGON ((29.7772902 59.9863374, 29.7772396 59.9862773, 29.7773554 59.9862538, 29.7774023 59.9863148, 29.7772902 59.9863374))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7754329 59.9900075, 29.7755215 59.9899899, 29.7754814 59.9899393, 29.7753928 59.9899569, 29.7754329 59.9900075))",,,10 литБ,Красная улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7775889 59.9890922, 29.7776336 59.9891074, 29.7776865 59.9891129, 29.7777396 59.9891079, 29.7777847 59.989093, 29.7778151 59.9890707, 29.7778261 59.9890443, 29.7778161 59.9890177, 29.7777864 59.9889951, 29.7777418 59.9889799, 29.7776889 59.9889744, 29.7776358 59.9889794, 29.7775906 59.9889943, 29.7775602 59.9890166, 29.7775492 59.989043, 29.7775593 59.9890696, 29.7775889 59.9890922))",,,,,grotto,1,,dome,,Грот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7759964 59.9901053, 29.7760919 59.9900814, 29.7760384 59.9900279, 29.7759429 59.9900518, 29.7759964 59.9901053))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7691819 59.9879147, 29.7690817 59.9879352, 29.7691111 59.9879711, 29.7692113 59.9879506, 29.7691819 59.9879147))",,,,,yes,1,,flat,,Tourist info,,,,,,,"Mo-Fr 10:00-14:00,15:00-18:00; Sa,Su 10:00-14:00,15:00-17:00",,,,,,,,,,,,,,,,,,,,no,,office,information,,,,,,
"POLYGON ((29.7674285 59.9883524, 29.7672753 59.9883837, 29.7673102 59.9884269, 29.7674652 59.9883951, 29.7674285 59.9883524))",,,,,service,1,,flat,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,substation,,,,,,,,
"POLYGON ((29.768062 59.9894205, 29.7681402 59.9894033, 29.7681137 59.9893721, 29.7681097 59.9893667, 29.768035 59.989383, 29.7680554 59.9894114, 29.768062 59.9894205))",,,1 литБ,Коммунистическая улица,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7701234 59.9892092, 29.7702283 59.9891869, 29.7702622 59.9892269, 29.7701573 59.9892492, 29.7701234 59.9892092))",,,,,service,1,,flat,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,substation,,,,,,,,
"POLYGON ((29.7692384 59.9902731, 29.7690075 59.9903152, 29.7691007 59.9904431, 29.7693316 59.990401, 29.7692384 59.9902731))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7681819 59.9897881, 29.7682706 59.9899044, 29.7683323 59.9898926, 29.7683177 59.9898735, 29.7683729 59.989863, 29.7682988 59.9897658, 29.7681819 59.9897881))",,,,,yes,1,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7715831 59.9892683, 29.7717676 59.9892314, 29.7715046 59.9889024, 29.7713202 59.9889393, 29.7715831 59.9892683))",Кронштадт,RU,,,yes,1,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7730566 59.9894458, 29.7731615 59.9894235, 29.7731954 59.9894635, 29.7730905 59.9894858, 29.7730566 59.9894458))",,,,,service,1,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,substation,,,,,,,,
"POLYGON ((29.7693391 59.9894899, 29.7696513 59.9894271, 29.769674 59.9894226, 29.7696817 59.9894292, 29.7697647 59.9894401, 29.7698389 59.9894184, 29.7698607 59.9893769, 29.7698173 59.9893398, 29.7697343 59.9893289, 29.7696602 59.9893506, 29.7696553 59.9893599, 29.7696038 59.9893701, 29.7688683 59.9884859, 29.7685444 59.9885506, 29.7692071 59.9893351, 29.7693062 59.9894507, 29.7693391 59.9894899))",Кронштадт,RU,1А,Коммунистическая улица,yes,3,,hipped,Q117448074,,,,,,,,,,,yes,,,,,,,yes,rgis,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7823263 59.9867836, 29.7831312 59.9866179, 29.7830646 59.9865369, 29.7828861 59.9865737, 29.7828336 59.98651, 29.7826886 59.9865398, 29.7825794 59.9865623, 29.7826449 59.9866419, 29.7822728 59.9867186, 29.7823263 59.9867836))",,,7 литД,Петровская улица,yes,,,,,,,,,,,,,,,,,,,,,,,rgis,,,,,,,,,,,,,,,,,,
"POLYGON ((29.779755 59.9865925, 29.7796719 59.986493, 29.779855 59.9864547, 29.7799381 59.9865543, 29.7798019 59.9865827, 29.779755 59.9865925))",Кронштадт,,6Б,Петровская улица,yes,2,,,,Оборонэнерго,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7713932 59.9855042, 29.7715276 59.9854765, 29.7714198 59.9853458, 29.7712854 59.9853735, 29.7713932 59.9855042))",,,,,yes,,,,,Вкусное мясо,,cafe,,,,,"Mo-Fr 11:00-20:00; Sa,Su 11:00-22:00",,,,,,,,,,,,,,,,,,,,limited,,,,yes,yes,yes,yes,,
"POLYGON ((29.7825001 59.9839778, 29.7825656 59.9840553, 29.7828258 59.9840003, 29.7827602 59.9839227, 29.7825001 59.9839778))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7829024 59.9837577, 29.7822908 59.9838825, 29.7823851 59.9839981, 29.7829967 59.9838733, 29.7829024 59.9837577))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7778223 59.9827836, 29.7776935 59.9826118, 29.7775028 59.9826476, 29.7776315 59.9828194, 29.7778223 59.9827836))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7774816 59.9822442, 29.7772456 59.9819745, 29.7769872 59.9820311, 29.7772232 59.9823008, 29.7774816 59.9822442))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7768558 59.9861419, 29.776712 59.9861725, 29.7766151 59.9860586, 29.7767589 59.986028, 29.7768558 59.9861419))",,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7753315 59.9856467, 29.7756604 59.9855835, 29.7755446 59.9854328, 29.7752157 59.9854961, 29.7753315 59.9856467))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.771091 59.9853189, 29.7711475 59.9853074, 29.7710572 59.9851881, 29.7709947 59.9852026, 29.771091 59.9853189))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7709449 59.9876875, 29.7712281 59.98763, 29.7712826 59.987697, 29.7709988 59.9877547, 29.7709449 59.9876875))",,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7714524 59.9875844, 29.7712983 59.9876157, 29.7713527 59.9876827, 29.7715055 59.9876517, 29.7714524 59.9875844))",,,,,service,1,,,,,,,,,,,,,44,,,Оборонэнерго,,,,,,,,,,,,,,,,substation,,,,,,,,
